Role,,Company_Type,Industry,,Location_Tier,Experience_Level,Job_Type,,Salary_LPA,Skills_Required,Education_Required
Backend Developer,,MNC,Automobile,,Remote,Fresher (0-1 yr),Full-Time,,3.8,"Node.js, MongoDB, PostgreSQL, Python, FastAPI, Django",B.Tech/B.E.
DevOps Engineer,,Indian Unicorn,FinTech,,Tier 2,Mid (3-6 yrs),Full-Time,,24.2,"Jenkins, Docker, Ansible, CI/CD, AWS, Terraform",M.Tech/M.E.
Machine Learning Engineer,,MNC,E-Commerce,,Remote,Mid (3-6 yrs),Full-Time,,18.7,"TensorFlow, Docker, MLOps, Scikit-learn, AWS",MBA
Backend Developer,,Indian Unicorn,HealthTech,,Remote,Fresher (0-1 yr),Full-Time,,7.7,"Django, Node.js, MongoDB, Docker, FastAPI, PostgreSQL",B.Sc (CS/IT)
Backend Developer,,MNC,Manufacturing,,Remote,Mid (3-6 yrs),Contract,,15.4,"Redis, Java, Python",BCA
Power BI Developer,,Indian Unicorn,Information Technology,,Remote,Junior (1-3 yrs),Contract,,13.7,"Data Modeling, SQL, ETL, Excel, Power BI, DAX",B.Tech/B.E.
Python Developer,,PSU/Govt,Gaming,,Remote,Senior (6-10 yrs),Contract,,16.5,"PostgreSQL, AWS, REST APIs, Python, Docker, Django",B.Tech/B.E.
Data Scientist,,PSU/Govt,Information Technology,,Remote,Senior (6-10 yrs),Contract,,24.2,"TensorFlow, Tableau, Deep Learning, Scikit-learn, Pandas",B.Sc (CS/IT)
Blockchain Developer,,Startup,Government/PSU,,Tier 1,Mid (3-6 yrs),Full-Time,,17,"Python, Web3.js, Solidity, Smart Contracts",M.Tech/M.E.
React Developer,,Startup,Government/PSU,,Tier 1,Senior (6-10 yrs),Full-Time,,36.1,"TypeScript, Redux, Next.js, HTML/CSS, React",MCA
Software Engineer,,Startup,Manufacturing,,Tier 2,Fresher (0-1 yr),Contract,,4.9,"Java, Python, Algorithms, Git, System Design, C++",B.Tech/B.E.
Data Scientist,,Startup,Information Technology,,Tier 2,Lead (10+ yrs),Full-Time,,94.8,"TensorFlow, Scikit-learn, NLP, Deep Learning, Machine Learning",B.Tech/B.E.
Java Developer,,Indian Unicorn,EdTech,,Tier 1,Lead (10+ yrs),Contract,,85.1,"Hibernate, Java, Microservices",B.Tech/B.E.
QA Engineer,,PSU/Govt,Consulting,,Remote,Senior (6-10 yrs),Contract,,15.9,"Manual Testing, Python, Selenium, JIRA, API Testing",BCA
Data Scientist,,Startup,Banking & Finance,,Remote,Mid (3-6 yrs),Full-Time,,26.5,"NLP, TensorFlow, Machine Learning, Scikit-learn, Pandas",MBA
Backend Developer,,Startup,Gaming,,Remote,Mid (3-6 yrs),Full-Time,,24.4,"PostgreSQL, FastAPI, Redis, Java, Django",M.Tech/M.E.
Technical Lead,,MNC,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,33.1,"Microservices, Team Leadership, Agile, Code Review",B.Sc (CS/IT)
Data Analyst,,MNC,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,5.1,"Data Visualization, SQL, Excel, Tableau, Power BI, Python",MCA
Business Analyst,,Startup,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,5.2,"Excel, SQL, Requirements Gathering, Power BI, JIRA",B.Sc (CS/IT)
Cybersecurity Analyst,,Indian Unicorn,FinTech,,Remote,Lead (10+ yrs),Full-Time,,55.6,"Network Security, Penetration Testing, Python, SIEM",B.Tech/B.E.
Full Stack Developer,,Startup,Retail,,Tier 1,Junior (1-3 yrs),Full-Time,,13.8,"React, Docker, REST APIs",BCA
QA Engineer,,MNC,HealthTech,,Tier 2,Junior (1-3 yrs),Full-Time,,12,"Selenium, API Testing, Manual Testing, Python, Postman, JIRA",MCA
Business Analyst,,MNC,Government/PSU,,Tier 1,Fresher (0-1 yr),Full-Time,,5.4,"SQL, JIRA, Agile",B.Tech/B.E.
Business Analyst,,Startup,Information Technology,,Remote,Mid (3-6 yrs),Part-Time,,19.3,"Power BI, JIRA, Agile",B.Sc (CS/IT)
Data Analyst,,Startup,Gaming,,Tier 2,Junior (1-3 yrs),Full-Time,,10.4,"Excel, SQL, Tableau, Python, Data Visualization",B.Tech/B.E.
Cloud Engineer,,PSU/Govt,Information Technology,,Remote,Mid (3-6 yrs),Part-Time,,12.2,"Linux, Docker, Terraform, Azure, GCP, Kubernetes",MBA
UI/UX Designer,,PSU/Govt,HealthTech,,Remote,Senior (6-10 yrs),Full-Time,,19.8,"CSS, User Research, Figma, Adobe XD",B.Tech/B.E.
Android Developer,,MNC,Consulting,,Tier 2,Fresher (0-1 yr),Full-Time,,6.1,"Kotlin, Jetpack Compose, Android SDK, Firebase",B.Sc (CS/IT)
Android Developer,,Indian Unicorn,E-Commerce,,Remote,Senior (6-10 yrs),Full-Time,,51.6,"Firebase, Kotlin, REST APIs, Java, Android SDK, Jetpack Compose",B.Tech/B.E.
Engineering Manager,,Startup,Consulting,,Tier 1,Mid (3-6 yrs),Full-Time,,26.2,"System Design, Roadmapping, Hiring, OKRs, Agile, People Management",B.Sc (CS/IT)
Full Stack Developer,,Startup,E-Commerce,,Remote,Junior (1-3 yrs),Full-Time,,8.7,"Node.js, Python, PostgreSQL, REST APIs, Docker, React",B.Sc (CS/IT)
Full Stack Developer,,Startup,Logistics,,Remote,Senior (6-10 yrs),Full-Time,,32.6,"React, PostgreSQL, Docker, REST APIs, MongoDB, Python",B.Tech/B.E.
QA Engineer,,MNC,Media & Entertainment,,Tier 1,Mid (3-6 yrs),Full-Time,,21.8,"JIRA, Postman, Manual Testing, Python",M.Tech/M.E.
Node.js Developer,,Indian Unicorn,Information Technology,,Tier 2,Mid (3-6 yrs),Contract,,25.3,"TypeScript, MongoDB, Express.js, JavaScript, Node.js",BCA
Python Developer,,Indian Unicorn,Gaming,,Tier 2,Mid (3-6 yrs),Contract,,16.2,"PostgreSQL, Python, Docker",M.Tech/M.E.
Python Developer,,MNC,Banking & Finance,,Tier 2,Senior (6-10 yrs),Full-Time,,26.6,"Python, PostgreSQL, Docker, Django, FastAPI, REST APIs",B.Tech/B.E.
QA Engineer,,MNC,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,10.4,"Python, JIRA, Manual Testing, API Testing, Selenium, Postman",BCA
Software Engineer,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,15.9,"Java, Python, C++, Algorithms",B.Tech/B.E.
Frontend Developer,,Startup,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,9.3,"Next.js, Figma, HTML/CSS, React, JavaScript, Tailwind CSS",M.Tech/M.E.
Engineering Manager,,Startup,HealthTech,,Remote,Fresher (0-1 yr),Full-Time,,7,"People Management, System Design, Hiring, OKRs",MBA
Business Analyst,,Startup,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,22.7,"Excel, Agile, SQL",B.Tech/B.E.
React Developer,,Indian Unicorn,Consulting,,Tier 1,Senior (6-10 yrs),Internship,,1,"React, Redux, TypeScript, HTML/CSS",B.Tech/B.E.
Java Developer,,PSU/Govt,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,6.2,"SQL, REST APIs, Maven",B.Tech/B.E.
Machine Learning Engineer,,Startup,HealthTech,,Tier 2,Senior (6-10 yrs),Full-Time,,50.5,"PyTorch, Docker, Scikit-learn, MLOps",M.Tech/M.E.
Node.js Developer,,Startup,Information Technology,,Tier 2,Mid (3-6 yrs),Full-Time,,18.2,"MongoDB, Express.js, TypeScript",BCA
Software Engineer,,MNC,Gaming,,Remote,Fresher (0-1 yr),Internship,,1.3,"Python, C++, System Design, Java, Git, Algorithms",MBA
Android Developer,,MNC,FinTech,,Tier 1,Junior (1-3 yrs),Full-Time,,10.9,"Android SDK, Jetpack Compose, Java, Kotlin, REST APIs",BCA
Frontend Developer,,Indian Unicorn,EdTech,,Tier 2,Mid (3-6 yrs),Full-Time,,25.8,"Figma, TypeScript, JavaScript",B.Tech/B.E.
UI/UX Designer,,PSU/Govt,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,19.3,"CSS, Adobe XD, User Research, Prototyping, Figma, Wireframing",MBA
Business Analyst,,Startup,EdTech,,Remote,Senior (6-10 yrs),Full-Time,,41.4,"JIRA, Requirements Gathering, Power BI, SQL",M.Tech/M.E.
Backend Developer,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Contract,,11.4,"Docker, FastAPI, MongoDB",BCA
DevOps Engineer,,Indian Unicorn,FinTech,,Remote,Junior (1-3 yrs),Contract,,9.9,"Ansible, Terraform, Docker, CI/CD, Kubernetes, AWS",B.Sc (CS/IT)
AI Engineer,,MNC,Information Technology,,Tier 2,Mid (3-6 yrs),Full-Time,,20,"RAG, OpenAI API, LLMs, NLP, Python, Prompt Engineering",BCA
Business Analyst,,PSU/Govt,Logistics,,Tier 1,Lead (10+ yrs),Full-Time,,22.6,"SQL, Excel, Requirements Gathering, Power BI, Agile",BCA
Python Developer,,Startup,E-Commerce,,Tier 2,Junior (1-3 yrs),Internship,,0.8,"REST APIs, AWS, Django, Python",BCA
AI Engineer,,MNC,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,50.3,"Prompt Engineering, OpenAI API, RAG",BCA
Technical Lead,,Indian Unicorn,EdTech,,Remote,Senior (6-10 yrs),Contract,,42.7,"Agile, Microservices, System Design, Code Review, Team Leadership",M.Tech/M.E.
MLOps Engineer,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,25.9,"MLflow, AWS, Airflow, CI/CD, Python",BCA
Data Engineer,,Indian Unicorn,Banking & Finance,,Tier 1,Mid (3-6 yrs),Part-Time,,25.6,"Spark, AWS, ETL, Airflow",B.Tech/B.E.
Java Developer,,Startup,Consulting,,Remote,Junior (1-3 yrs),Full-Time,,12.8,"Java, SQL, Microservices, Spring Boot, Hibernate, REST APIs",M.Tech/M.E.
Computer Vision Engineer,,Indian Unicorn,E-Commerce,,Remote,Lead (10+ yrs),Contract,,82.7,"OpenCV, Python, Deep Learning, PyTorch, TensorFlow",B.Tech/B.E.
Software Engineer,,PSU/Govt,Manufacturing,,Tier 1,Junior (1-3 yrs),Full-Time,,7,"System Design, C++, Git, Python, Algorithms",MBA
DevOps Engineer,,MNC,Gaming,,Remote,Lead (10+ yrs),Internship,,2.8,"Ansible, AWS, Terraform, CI/CD, Kubernetes",B.Sc (CS/IT)
Product Manager,,MNC,Logistics,,Tier 2,Mid (3-6 yrs),Full-Time,,15.6,"Roadmapping, JIRA, Agile",M.Tech/M.E.
Data Analyst,,PSU/Govt,Manufacturing,,Remote,Senior (6-10 yrs),Full-Time,,18.3,"Statistics, Excel, Data Visualization, Python, Tableau, SQL",MBA
Software Engineer,,MNC,Logistics,,Remote,Mid (3-6 yrs),Full-Time,,16.4,"System Design, Data Structures, Algorithms, C++, Git",B.Sc (CS/IT)
Backend Developer,,Indian Unicorn,FinTech,,Tier 1,Mid (3-6 yrs),Full-Time,,17,"Redis, Python, PostgreSQL, FastAPI",MCA
DevOps Engineer,,MNC,Logistics,,Tier 2,Fresher (0-1 yr),Full-Time,,5.4,"Ansible, AWS, Kubernetes, CI/CD",B.Tech/B.E.
Data Engineer,,PSU/Govt,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,15.4,"ETL, dbt, Python, Spark",B.Sc (CS/IT)
Business Analyst,,Startup,Manufacturing,,Tier 1,Mid (3-6 yrs),Full-Time,,26.8,"Requirements Gathering, SQL, JIRA, Power BI, Excel",B.Tech/B.E.
Backend Developer,,MNC,HealthTech,,Tier 1,Lead (10+ yrs),Full-Time,,68.8,"PostgreSQL, Docker, Redis, FastAPI, Django",B.Tech/B.E.
Android Developer,,MNC,Media & Entertainment,,Tier 2,Junior (1-3 yrs),Full-Time,,12.2,"Java, Android SDK, REST APIs, Jetpack Compose, Firebase",B.Tech/B.E.
Python Developer,,PSU/Govt,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,16.5,"Django, AWS, REST APIs",MCA
Data Analyst,,Startup,Government/PSU,,Tier 2,Fresher (0-1 yr),Full-Time,,4.3,"Excel, Statistics, Power BI, Tableau",B.Tech/B.E.
Data Scientist,,Indian Unicorn,EdTech,,Remote,Mid (3-6 yrs),Contract,,36.9,"Tableau, Deep Learning, Scikit-learn, TensorFlow",B.Tech/B.E.
Business Analyst,,Startup,Consulting,,Tier 1,Junior (1-3 yrs),Full-Time,,10.7,"Power BI, Requirements Gathering, SQL, JIRA, Excel",B.Sc (CS/IT)
NLP Engineer,,Startup,Manufacturing,,Tier 1,Senior (6-10 yrs),Full-Time,,60.7,"BERT, Transformers, Python, HuggingFace, LLMs, SpaCy",BCA
QA Engineer,,MNC,Information Technology,,Tier 1,Junior (1-3 yrs),Contract,,12.8,"JIRA, API Testing, Postman, Selenium, Python, Manual Testing",BCA
Machine Learning Engineer,,MNC,FinTech,,Tier 1,Junior (1-3 yrs),Full-Time,,13.9,"Docker, Scikit-learn, AWS, Python, PyTorch, MLOps",B.Tech/B.E.
Product Manager,,MNC,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,29.9,"Agile, Roadmapping, Product Strategy, A/B Testing, SQL, User Research",MCA
Engineering Manager,,PSU/Govt,E-Commerce,,Tier 2,Senior (6-10 yrs),Full-Time,,19.4,"People Management, Agile, OKRs, Hiring, Roadmapping",B.Tech/B.E.
DevOps Engineer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,21.1,"Docker, Ansible, Jenkins, Kubernetes, CI/CD",M.Tech/M.E.
Android Developer,,MNC,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,4.7,"REST APIs, Android SDK, Jetpack Compose, Kotlin, Firebase, Java",B.Tech/B.E.
Node.js Developer,,Indian Unicorn,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,10.6,"TypeScript, Express.js, Node.js, MongoDB, JavaScript, REST APIs",BCA
DevOps Engineer,,Indian Unicorn,Information Technology,,Tier 2,Mid (3-6 yrs),Full-Time,,24.7,"Docker, CI/CD, Kubernetes",M.Tech/M.E.
Machine Learning Engineer,,Indian Unicorn,FinTech,,Tier 1,Mid (3-6 yrs),Full-Time,,37.2,"Python, TensorFlow, Docker",BCA
Android Developer,,Indian Unicorn,HealthTech,,Remote,Senior (6-10 yrs),Internship,,3.4,"Android SDK, Kotlin, Java",M.Tech/M.E.
Software Engineer,,Startup,Banking & Finance,,Tier 2,Mid (3-6 yrs),Full-Time,,21.4,"Git, Java, Python, System Design, Data Structures, C++",M.Tech/M.E.
Technical Lead,,PSU/Govt,HealthTech,,Remote,Senior (6-10 yrs),Full-Time,,14.8,"Agile, Code Review, Team Leadership, Microservices",M.Tech/M.E.
Power BI Developer,,Indian Unicorn,FinTech,,Tier 1,Fresher (0-1 yr),Part-Time,,7.6,"Data Modeling, Azure, ETL, DAX, Power BI",MCA
Node.js Developer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,24,"Express.js, REST APIs, Node.js, MongoDB, TypeScript, JavaScript",B.Tech/B.E.
Full Stack Developer,,Startup,HealthTech,,Tier 1,Senior (6-10 yrs),Full-Time,,32.1,"React, Python, PostgreSQL, REST APIs, AWS, MongoDB",B.Tech/B.E.
Data Analyst,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,11.2,"Python, Tableau, Power BI",B.Tech/B.E.
Python Developer,,Indian Unicorn,EdTech,,Remote,Mid (3-6 yrs),Full-Time,,29.6,"AWS, REST APIs, FastAPI, Python, Docker",B.Tech/B.E.
Full Stack Developer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Part-Time,,23.3,"MongoDB, Docker, Python, Node.js",B.Tech/B.E.
Technical Lead,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,22.8,"Microservices, Code Review, Team Leadership, Agile",B.Tech/B.E.
iOS Developer,,Indian Unicorn,Manufacturing,,Tier 2,Junior (1-3 yrs),Full-Time,,13.8,"Core Data, Swift, Firebase, SwiftUI, Xcode, REST APIs",B.Tech/B.E.
Backend Developer,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,22.6,"Node.js, Django, FastAPI",B.Com + Certification
Full Stack Developer,,Indian Unicorn,FinTech,,Tier 1,Junior (1-3 yrs),Full-Time,,11.4,"PostgreSQL, Node.js, AWS",PhD
DevOps Engineer,,PSU/Govt,FinTech,,Remote,Fresher (0-1 yr),Part-Time,,4.3,"Jenkins, Terraform, CI/CD, Kubernetes",M.Tech/M.E.
AI Engineer,,PSU/Govt,Government/PSU,,Tier 2,Lead (10+ yrs),Full-Time,,32.4,"LangChain, Vector DBs, Python, NLP, RAG",B.Tech/B.E.
Android Developer,,Startup,HealthTech,,Remote,Fresher (0-1 yr),Full-Time,,6.9,"REST APIs, Java, Firebase, Android SDK",BCA
Business Analyst,,Startup,Information Technology,,Tier 2,Senior (6-10 yrs),Full-Time,,48.2,"Power BI, Requirements Gathering, Excel",B.Tech/B.E.
Technical Lead,,PSU/Govt,HealthTech,,Remote,Senior (6-10 yrs),Full-Time,,17.1,"Agile, Code Review, System Design, Team Leadership, AWS",B.Sc (CS/IT)
Backend Developer,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,24.1,"FastAPI, Redis, Python, Django, Java",B.Tech/B.E.
Cybersecurity Analyst,,Startup,EdTech,,Remote,Fresher (0-1 yr),Full-Time,,6.6,"Ethical Hacking, Network Security, Python, Penetration Testing",B.Tech/B.E.
Data Analyst,,MNC,E-Commerce,,Remote,Mid (3-6 yrs),Full-Time,,19,"Statistics, Python, Data Visualization, Excel, Tableau, Power BI",B.Tech/B.E.
Android Developer,,MNC,Logistics,,Tier 1,Fresher (0-1 yr),Full-Time,,5.5,"Kotlin, Java, REST APIs, Firebase",B.Tech/B.E.
Product Manager,,Startup,E-Commerce,,Remote,Junior (1-3 yrs),Full-Time,,12.8,"Agile, User Research, JIRA",BCA
Software Engineer,,MNC,Government/PSU,,Tier 1,Mid (3-6 yrs),Contract,,21.7,"C++, Python, System Design, REST APIs, Git, Data Structures",B.Tech/B.E.
Full Stack Developer,,PSU/Govt,Gaming,,Tier 2,Fresher (0-1 yr),Full-Time,,3.7,"MongoDB, Docker, Node.js, PostgreSQL, React, REST APIs",B.Tech/B.E.
Product Manager,,Startup,EdTech,,Tier 2,Junior (1-3 yrs),Contract,,10.5,"User Research, A/B Testing, SQL, Roadmapping",BCA
Frontend Developer,,MNC,HealthTech,,Tier 1,Senior (6-10 yrs),Internship,,3,"TypeScript, Figma, Next.js",M.Tech/M.E.
Python Developer,,MNC,EdTech,,Tier 1,Fresher (0-1 yr),Full-Time,,5.2,"Django, FastAPI, Docker, REST APIs",B.Com + Certification
Computer Vision Engineer,,PSU/Govt,EdTech,,Tier 1,Lead (10+ yrs),Full-Time,,22.8,"OpenCV, TensorFlow, PyTorch",BCA
Full Stack Developer,,Indian Unicorn,FinTech,,Remote,Fresher (0-1 yr),Full-Time,,7.2,"PostgreSQL, MongoDB, React",B.Sc (CS/IT)
Frontend Developer,,Indian Unicorn,Information Technology,,Tier 1,Senior (6-10 yrs),Contract,,45.6,"JavaScript, TypeScript, HTML/CSS, Tailwind CSS",M.Tech/M.E.
Technical Lead,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,18.8,"Team Leadership, Agile, System Design",MBA
MLOps Engineer,,MNC,E-Commerce,,Tier 1,Fresher (0-1 yr),Full-Time,,6.2,"Kubernetes, MLflow, Docker, AWS",B.Tech/B.E.
Data Engineer,,MNC,EdTech,,Remote,Fresher (0-1 yr),Full-Time,,3.9,"ETL, AWS, Python",B.Tech/B.E.
QA Engineer,,PSU/Govt,Consulting,,Remote,Junior (1-3 yrs),Full-Time,,5.5,"API Testing, Python, Selenium, JIRA, Manual Testing, Postman",B.Tech/B.E.
Product Manager,,PSU/Govt,HealthTech,,Remote,Lead (10+ yrs),Full-Time,,27.4,"SQL, A/B Testing, Product Strategy, User Research, Agile",MCA
Python Developer,,Startup,HealthTech,,Tier 1,Senior (6-10 yrs),Internship,,2.3,"REST APIs, PostgreSQL, AWS, Django, FastAPI, Python",MCA
MLOps Engineer,,Startup,Information Technology,,Tier 2,Mid (3-6 yrs),Full-Time,,19.7,"Docker, AWS, Python, Airflow, Kubernetes, CI/CD",MBA
Machine Learning Engineer,,Startup,Consulting,,Remote,Mid (3-6 yrs),Full-Time,,24.7,"PyTorch, Docker, TensorFlow",MBA
Software Engineer,,Startup,Telecom,,Tier 1,Junior (1-3 yrs),Part-Time,,12.7,"Java, Algorithms, Git",B.Tech/B.E.
Node.js Developer,,PSU/Govt,E-Commerce,,Tier 2,Fresher (0-1 yr),Full-Time,,3.6,"TypeScript, REST APIs, JavaScript, Express.js, MongoDB",BCA
Data Engineer,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Contract,,11.7,"ETL, AWS, Airflow, Spark",BCA
Node.js Developer,,Startup,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,16.1,"JavaScript, Node.js, REST APIs, MongoDB, TypeScript, Express.js",B.Tech/B.E.
Data Scientist,,Indian Unicorn,EdTech,,Tier 1,Lead (10+ yrs),Full-Time,,61.6,"Deep Learning, NLP, SQL, TensorFlow, Scikit-learn",B.Sc (CS/IT)
iOS Developer,,Startup,Information Technology,,Tier 2,Mid (3-6 yrs),Contract,,21,"Firebase, Xcode, REST APIs, SwiftUI, Core Data, Swift",M.Tech/M.E.
UI/UX Designer,,Indian Unicorn,Consulting,,Remote,Fresher (0-1 yr),Full-Time,,7.4,"Wireframing, Figma, Adobe XD, User Research, Prototyping",BCA
Backend Developer,,Startup,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,41,"Redis, Java, MongoDB, FastAPI",MCA
Technical Lead,,MNC,HealthTech,,Tier 2,Senior (6-10 yrs),Full-Time,,35.7,"System Design, Team Leadership, AWS, Agile, Code Review",B.Tech/B.E.
Python Developer,,Indian Unicorn,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,32.6,"REST APIs, Docker, FastAPI, Python, AWS, Django",MBA
Backend Developer,,Startup,Manufacturing,,Tier 2,Mid (3-6 yrs),Full-Time,,20.8,"Java, PostgreSQL, FastAPI, Node.js, Redis",MCA
Cybersecurity Analyst,,MNC,HealthTech,,Remote,Fresher (0-1 yr),Full-Time,,4.8,"Network Security, Python, Ethical Hacking, SIEM, Penetration Testing",B.Sc (CS/IT)
Software Engineer,,MNC,Retail,,Tier 1,Mid (3-6 yrs),Full-Time,,20.4,"Algorithms, Python, Java, C++, System Design",MCA
Java Developer,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,16.3,"Maven, REST APIs, Java, Hibernate",MCA
Backend Developer,,Indian Unicorn,Information Technology,,Tier 1,Mid (3-6 yrs),Contract,,23.4,"Node.js, Redis, Django, MongoDB, PostgreSQL, Docker",MCA
Python Developer,,MNC,Retail,,Remote,Junior (1-3 yrs),Full-Time,,7.4,"PostgreSQL, FastAPI, Python, REST APIs, Django",BCA
Android Developer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Contract,,13.3,"Firebase, REST APIs, Java",B.Tech/B.E.
Product Manager,,PSU/Govt,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,4.7,"Roadmapping, User Research, Agile, A/B Testing, Product Strategy, JIRA",B.Tech/B.E.
Computer Vision Engineer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Contract,,24.9,"Python, Deep Learning, YOLO",BCA
Cloud Engineer,,Startup,FinTech,,Tier 2,Fresher (0-1 yr),Full-Time,,6.3,"Linux, AWS, Docker, Azure",B.Com + Certification
Software Engineer,,Indian Unicorn,HealthTech,,Remote,Fresher (0-1 yr),Full-Time,,7,"REST APIs, Java, Git",MCA
Node.js Developer,,Indian Unicorn,EdTech,,Tier 2,Mid (3-6 yrs),Full-Time,,20.3,"JavaScript, Node.js, Express.js, MongoDB",M.Tech/M.E.
Frontend Developer,,Indian Unicorn,Gaming,,Tier 1,Lead (10+ yrs),Part-Time,,58.8,"HTML/CSS, Tailwind CSS, JavaScript, TypeScript",PhD
Research Scientist,,Indian Unicorn,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,7.7,"Python, PyTorch, Statistics, R, Publications, Deep Learning",BCA
Cybersecurity Analyst,,Indian Unicorn,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,45.8,"Penetration Testing, Ethical Hacking, Network Security, SIEM",B.Tech/B.E.
Software Engineer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,23,"Java, C++, Python",B.Tech/B.E.
Full Stack Developer,,PSU/Govt,Information Technology,,Tier 2,Lead (10+ yrs),Full-Time,,25.7,"MongoDB, PostgreSQL, REST APIs, Docker, Python, React",M.Tech/M.E.
MLOps Engineer,,PSU/Govt,Banking & Finance,,Remote,Junior (1-3 yrs),Full-Time,,7.4,"AWS, Airflow, Python, Docker, Kubernetes, MLflow",M.Tech/M.E.
DevOps Engineer,,MNC,Information Technology,,Tier 1,Lead (10+ yrs),Full-Time,,68.9,"Ansible, AWS, Kubernetes",M.Tech/M.E.
QA Engineer,,MNC,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,10.8,"Manual Testing, Selenium, JIRA, Postman",B.Com + Certification
Data Analyst,,Indian Unicorn,EdTech,,Tier 2,Junior (1-3 yrs),Full-Time,,12.8,"Power BI, Excel, Python, SQL",MCA
Engineering Manager,,MNC,Information Technology,,Tier 2,Junior (1-3 yrs),Full-Time,,12,"Hiring, OKRs, People Management, Agile, System Design",B.Tech/B.E.
Java Developer,,PSU/Govt,Logistics,,Tier 1,Fresher (0-1 yr),Full-Time,,3.8,"Microservices, Java, Spring Boot, Hibernate",B.Tech/B.E.
Frontend Developer,,PSU/Govt,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,6.3,"Figma, Next.js, TypeScript, HTML/CSS",B.Sc (CS/IT)
MLOps Engineer,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,12.3,"MLflow, CI/CD, Docker, Kubernetes, Airflow, Python",B.Tech/B.E.
Business Analyst,,MNC,EdTech,,Remote,Fresher (0-1 yr),Full-Time,,5.7,"Excel, JIRA, SQL, Power BI, Agile",M.Tech/M.E.
