Role,Company_Type,Industry,Location_Tier,Job_Type,Salary_LPA,Skills_Required,Education_Required,years_avg,post
QA Engineer,MNC,HealthTech,Tier 2,Full-Time,12,"Selenium, API Testing, Manual Testing, Python, Postman, JIRA",MCA,2,junior
Business Analyst,MNC,Government/PSU,Tier 1,Full-Time,5.4,"SQL, JIRA, Agile",B.Tech/B.E.,0.5,fresher
Business Analyst,Startup,Information Technology,Remote,Part-Time,19.3,"Power BI, JIRA, Agile",B.Sc (CS/IT),4.5,mid
Data Analyst,Startup,Gaming,Tier 2,Full-Time,10.4,"Excel, SQL, Tableau, Python, Data Visualization",B.Tech/B.E.,2,junior
Cloud Engineer,PSU/Govt,Information Technology,Remote,Part-Time,12.2,"Linux, Docker, Terraform, Azure, GCP, Kubernetes",MBA,4.5,mid
UI/UX Designer,PSU/Govt,HealthTech,Remote,Full-Time,19.8,"CSS, User Research, Figma, Adobe XD",B.Tech/B.E.,8,senior
Android Developer,MNC,Consulting,Tier 2,Full-Time,6.1,"Kotlin, Jetpack Compose, Android SDK, Firebase",B.Sc (CS/IT),0.5,fresher
Android Developer,Indian Unicorn,E-Commerce,Remote,Full-Time,51.6,"Firebase, Kotlin, REST APIs, Java, Android SDK, Jetpack Compose",B.Tech/B.E.,8,senior
Engineering Manager,Startup,Consulting,Tier 1,Full-Time,26.2,"System Design, Roadmapping, Hiring, OKRs, Agile, People Management",B.Sc (CS/IT),4.5,mid
Full Stack Developer,Startup,E-Commerce,Remote,Full-Time,8.7,"Node.js, Python, PostgreSQL, REST APIs, Docker, React",B.Sc (CS/IT),2,junior
Full Stack Developer,Startup,Logistics,Remote,Full-Time,32.6,"React, PostgreSQL, Docker, REST APIs, MongoDB, Python",B.Tech/B.E.,8,senior
QA Engineer,MNC,Media & Entertainment,Tier 1,Full-Time,21.8,"JIRA, Postman, Manual Testing, Python",M.Tech/M.E.,4.5,mid
Node.js Developer,Indian Unicorn,Information Technology,Tier 2,Contract,25.3,"TypeScript, MongoDB, Express.js, JavaScript, Node.js",BCA,4.5,mid
Python Developer,Indian Unicorn,Gaming,Tier 2,Contract,16.2,"PostgreSQL, Python, Docker",M.Tech/M.E.,4.5,mid
Python Developer,MNC,Banking & Finance,Tier 2,Full-Time,26.6,"Python, PostgreSQL, Docker, Django, FastAPI, REST APIs",B.Tech/B.E.,8,senior
QA Engineer,MNC,Information Technology,Tier 1,Full-Time,10.4,"Python, JIRA, Manual Testing, API Testing, Selenium, Postman",BCA,2,junior
Software Engineer,Indian Unicorn,Information Technology,Tier 1,Full-Time,15.9,"Java, Python, C++, Algorithms",B.Tech/B.E.,4.5,mid
Frontend Developer,Startup,Information Technology,Tier 1,Full-Time,9.3,"Next.js, Figma, HTML/CSS, React, JavaScript, Tailwind CSS",M.Tech/M.E.,2,junior
Engineering Manager,Startup,HealthTech,Remote,Full-Time,7,"People Management, System Design, Hiring, OKRs",MBA,0.5,fresher
Business Analyst,Startup,FinTech,Remote,Full-Time,22.7,"Excel, Agile, SQL",B.Tech/B.E.,4.5,mid
React Developer,Indian Unicorn,Consulting,Tier 1,Internship,1,"React, Redux, TypeScript, HTML/CSS",B.Tech/B.E.,8,senior
Java Developer,PSU/Govt,Information Technology,Tier 1,Full-Time,6.2,"SQL, REST APIs, Maven",B.Tech/B.E.,2,junior
Machine Learning Engineer,Startup,HealthTech,Tier 2,Full-Time,50.5,"PyTorch, Docker, Scikit-learn, MLOps",M.Tech/M.E.,8,senior
Node.js Developer,Startup,Information Technology,Tier 2,Full-Time,18.2,"MongoDB, Express.js, TypeScript",BCA,4.5,mid
Software Engineer,MNC,Gaming,Remote,Internship,1.3,"Python, C++, System Design, Java, Git, Algorithms",MBA,0.5,fresher
Android Developer,MNC,FinTech,Tier 1,Full-Time,10.9,"Android SDK, Jetpack Compose, Java, Kotlin, REST APIs",BCA,2,junior
Frontend Developer,Indian Unicorn,EdTech,Tier 2,Full-Time,25.8,"Figma, TypeScript, JavaScript",B.Tech/B.E.,4.5,mid
UI/UX Designer,PSU/Govt,Information Technology,Remote,Full-Time,19.3,"CSS, Adobe XD, User Research, Prototyping, Figma, Wireframing",MBA,8,senior
Business Analyst,Startup,EdTech,Remote,Full-Time,41.4,"JIRA, Requirements Gathering, Power BI, SQL",M.Tech/M.E.,8,senior
Backend Developer,Startup,Information Technology,Remote,Contract,11.4,"Docker, FastAPI, MongoDB",BCA,2,junior
DevOps Engineer,Indian Unicorn,FinTech,Remote,Contract,9.9,"Ansible, Terraform, Docker, CI/CD, Kubernetes, AWS",B.Sc (CS/IT),2,junior
AI Engineer,MNC,Information Technology,Tier 2,Full-Time,20,"RAG, OpenAI API, LLMs, NLP, Python, Prompt Engineering",BCA,4.5,mid
Business Analyst,PSU/Govt,Logistics,Tier 1,Full-Time,22.6,"SQL, Excel, Requirements Gathering, Power BI, Agile",BCA,10,lead
Python Developer,Startup,E-Commerce,Tier 2,Internship,0.8,"REST APIs, AWS, Django, Python",BCA,2,junior
AI Engineer,MNC,Information Technology,Remote,Full-Time,50.3,"Prompt Engineering, OpenAI API, RAG",BCA,8,senior
Technical Lead,Indian Unicorn,EdTech,Remote,Contract,42.7,"Agile, Microservices, System Design, Code Review, Team Leadership",M.Tech/M.E.,8,senior
MLOps Engineer,MNC,Information Technology,Tier 1,Full-Time,25.9,"MLflow, AWS, Airflow, CI/CD, Python",BCA,4.5,mid
Data Engineer,Indian Unicorn,Banking & Finance,Tier 1,Part-Time,25.6,"Spark, AWS, ETL, Airflow",B.Tech/B.E.,4.5,mid
Java Developer,Startup,Consulting,Remote,Full-Time,12.8,"Java, SQL, Microservices, Spring Boot, Hibernate, REST APIs",M.Tech/M.E.,2,junior
Computer Vision Engineer,Indian Unicorn,E-Commerce,Remote,Contract,82.7,"OpenCV, Python, Deep Learning, PyTorch, TensorFlow",B.Tech/B.E.,10,lead
Software Engineer,PSU/Govt,Manufacturing,Tier 1,Full-Time,7,"System Design, C++, Git, Python, Algorithms",MBA,2,junior
DevOps Engineer,MNC,Gaming,Remote,Internship,2.8,"Ansible, AWS, Terraform, CI/CD, Kubernetes",B.Sc (CS/IT),10,lead
Product Manager,MNC,Logistics,Tier 2,Full-Time,15.6,"Roadmapping, JIRA, Agile",M.Tech/M.E.,4.5,mid
Data Analyst,PSU/Govt,Manufacturing,Remote,Full-Time,18.3,"Statistics, Excel, Data Visualization, Python, Tableau, SQL",MBA,8,senior
Software Engineer,MNC,Logistics,Remote,Full-Time,16.4,"System Design, Data Structures, Algorithms, C++, Git",B.Sc (CS/IT),4.5,mid
Backend Developer,Indian Unicorn,FinTech,Tier 1,Full-Time,17,"Redis, Python, PostgreSQL, FastAPI",MCA,4.5,mid
DevOps Engineer,MNC,Logistics,Tier 2,Full-Time,5.4,"Ansible, AWS, Kubernetes, CI/CD",B.Tech/B.E.,0.5,fresher
Data Engineer,PSU/Govt,Information Technology,Remote,Full-Time,15.4,"ETL, dbt, Python, Spark",B.Sc (CS/IT),8,senior
Business Analyst,Startup,Manufacturing,Tier 1,Full-Time,26.8,"Requirements Gathering, SQL, JIRA, Power BI, Excel",B.Tech/B.E.,4.5,mid
Backend Developer,MNC,HealthTech,Tier 1,Full-Time,68.8,"PostgreSQL, Docker, Redis, FastAPI, Django",B.Tech/B.E.,10,lead
Android Developer,MNC,Media & Entertainment,Tier 2,Full-Time,12.2,"Java, Android SDK, REST APIs, Jetpack Compose, Firebase",B.Tech/B.E.,2,junior
Python Developer,PSU/Govt,Information Technology,Tier 1,Full-Time,16.5,"Django, AWS, REST APIs",MCA,8,senior
Data Analyst,Startup,Government/PSU,Tier 2,Full-Time,4.3,"Excel, Statistics, Power BI, Tableau",B.Tech/B.E.,0.5,fresher
Data Scientist,Indian Unicorn,EdTech,Remote,Contract,36.9,"Tableau, Deep Learning, Scikit-learn, TensorFlow",B.Tech/B.E.,4.5,mid
Business Analyst,Startup,Consulting,Tier 1,Full-Time,10.7,"Power BI, Requirements Gathering, SQL, JIRA, Excel",B.Sc (CS/IT),2,junior
NLP Engineer,Startup,Manufacturing,Tier 1,Full-Time,60.7,"BERT, Transformers, Python, HuggingFace, LLMs, SpaCy",BCA,8,senior
QA Engineer,MNC,Information Technology,Tier 1,Contract,12.8,"JIRA, API Testing, Postman, Selenium, Python, Manual Testing",BCA,2,junior
Machine Learning Engineer,MNC,FinTech,Tier 1,Full-Time,13.9,"Docker, Scikit-learn, AWS, Python, PyTorch, MLOps",B.Tech/B.E.,2,junior
Product Manager,MNC,Information Technology,Remote,Full-Time,29.9,"Agile, Roadmapping, Product Strategy, A/B Testing, SQL, User Research",MCA,8,senior
Engineering Manager,PSU/Govt,E-Commerce,Tier 2,Full-Time,19.4,"People Management, Agile, OKRs, Hiring, Roadmapping",B.Tech/B.E.,8,senior
DevOps Engineer,MNC,Information Technology,Remote,Full-Time,21.1,"Docker, Ansible, Jenkins, Kubernetes, CI/CD",M.Tech/M.E.,4.5,mid
Android Developer,MNC,Information Technology,Tier 1,Full-Time,4.7,"REST APIs, Android SDK, Jetpack Compose, Kotlin, Firebase, Java",B.Tech/B.E.,0.5,fresher
Node.js Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,10.6,"TypeScript, Express.js, Node.js, MongoDB, JavaScript, REST APIs",BCA,2,junior
DevOps Engineer,Indian Unicorn,Information Technology,Tier 2,Full-Time,24.7,"Docker, CI/CD, Kubernetes",M.Tech/M.E.,4.5,mid
Machine Learning Engineer,Indian Unicorn,FinTech,Tier 1,Full-Time,37.2,"Python, TensorFlow, Docker",BCA,4.5,mid
Android Developer,Indian Unicorn,HealthTech,Remote,Internship,3.4,"Android SDK, Kotlin, Java",M.Tech/M.E.,8,senior
Software Engineer,Startup,Banking & Finance,Tier 2,Full-Time,21.4,"Git, Java, Python, System Design, Data Structures, C++",M.Tech/M.E.,4.5,mid
Technical Lead,PSU/Govt,HealthTech,Remote,Full-Time,14.8,"Agile, Code Review, Team Leadership, Microservices",M.Tech/M.E.,8,senior
Power BI Developer,Indian Unicorn,FinTech,Tier 1,Part-Time,7.6,"Data Modeling, Azure, ETL, DAX, Power BI",MCA,0.5,fresher
Node.js Developer,MNC,Information Technology,Remote,Full-Time,24,"Express.js, REST APIs, Node.js, MongoDB, TypeScript, JavaScript",B.Tech/B.E.,4.5,mid
Full Stack Developer,Startup,HealthTech,Tier 1,Full-Time,32.1,"React, Python, PostgreSQL, REST APIs, AWS, MongoDB",B.Tech/B.E.,8,senior
Data Analyst,Startup,Information Technology,Remote,Full-Time,11.2,"Python, Tableau, Power BI",B.Tech/B.E.,2,junior
Python Developer,Indian Unicorn,EdTech,Remote,Full-Time,29.6,"AWS, REST APIs, FastAPI, Python, Docker",B.Tech/B.E.,4.5,mid
Full Stack Developer,Startup,Information Technology,Tier 1,Part-Time,23.3,"MongoDB, Docker, Python, Node.js",B.Tech/B.E.,4.5,mid
Technical Lead,Startup,Information Technology,Tier 1,Full-Time,22.8,"Microservices, Code Review, Team Leadership, Agile",B.Tech/B.E.,4.5,mid
iOS Developer,Indian Unicorn,Manufacturing,Tier 2,Full-Time,13.8,"Core Data, Swift, Firebase, SwiftUI, Xcode, REST APIs",B.Tech/B.E.,2,junior
Backend Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,22.6,"Node.js, Django, FastAPI",B.Com + Certification,4.5,mid
Full Stack Developer,Indian Unicorn,FinTech,Tier 1,Full-Time,11.4,"PostgreSQL, Node.js, AWS",PhD,2,junior
DevOps Engineer,PSU/Govt,FinTech,Remote,Part-Time,4.3,"Jenkins, Terraform, CI/CD, Kubernetes",M.Tech/M.E.,0.5,fresher
AI Engineer,PSU/Govt,Government/PSU,Tier 2,Full-Time,32.4,"LangChain, Vector DBs, Python, NLP, RAG",B.Tech/B.E.,10,lead
Android Developer,Startup,HealthTech,Remote,Full-Time,6.9,"REST APIs, Java, Firebase, Android SDK",BCA,0.5,fresher
Business Analyst,Startup,Information Technology,Tier 2,Full-Time,48.2,"Power BI, Requirements Gathering, Excel",B.Tech/B.E.,8,senior
Technical Lead,PSU/Govt,HealthTech,Remote,Full-Time,17.1,"Agile, Code Review, System Design, Team Leadership, AWS",B.Sc (CS/IT),8,senior
Backend Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,24.1,"FastAPI, Redis, Python, Django, Java",B.Tech/B.E.,4.5,mid
Cybersecurity Analyst,Startup,EdTech,Remote,Full-Time,6.6,"Ethical Hacking, Network Security, Python, Penetration Testing",B.Tech/B.E.,0.5,fresher
Data Analyst,MNC,E-Commerce,Remote,Full-Time,19,"Statistics, Python, Data Visualization, Excel, Tableau, Power BI",B.Tech/B.E.,4.5,mid
Android Developer,MNC,Logistics,Tier 1,Full-Time,5.5,"Kotlin, Java, REST APIs, Firebase",B.Tech/B.E.,0.5,fresher
Product Manager,Startup,E-Commerce,Remote,Full-Time,12.8,"Agile, User Research, JIRA",BCA,2,junior
Software Engineer,MNC,Government/PSU,Tier 1,Contract,21.7,"C++, Python, System Design, REST APIs, Git, Data Structures",B.Tech/B.E.,4.5,mid
Full Stack Developer,PSU/Govt,Gaming,Tier 2,Full-Time,3.7,"MongoDB, Docker, Node.js, PostgreSQL, React, REST APIs",B.Tech/B.E.,0.5,fresher
Product Manager,Startup,EdTech,Tier 2,Contract,10.5,"User Research, A/B Testing, SQL, Roadmapping",BCA,2,junior
Frontend Developer,MNC,HealthTech,Tier 1,Internship,3,"TypeScript, Figma, Next.js",M.Tech/M.E.,8,senior
Python Developer,MNC,EdTech,Tier 1,Full-Time,5.2,"Django, FastAPI, Docker, REST APIs",B.Com + Certification,0.5,fresher
Computer Vision Engineer,PSU/Govt,EdTech,Tier 1,Full-Time,22.8,"OpenCV, TensorFlow, PyTorch",BCA,10,lead
Full Stack Developer,Indian Unicorn,FinTech,Remote,Full-Time,7.2,"PostgreSQL, MongoDB, React",B.Sc (CS/IT),0.5,fresher
Frontend Developer,Indian Unicorn,Information Technology,Tier 1,Contract,45.6,"JavaScript, TypeScript, HTML/CSS, Tailwind CSS",M.Tech/M.E.,8,senior
Technical Lead,Startup,Information Technology,Tier 1,Full-Time,18.8,"Team Leadership, Agile, System Design",MBA,4.5,mid
MLOps Engineer,MNC,E-Commerce,Tier 1,Full-Time,6.2,"Kubernetes, MLflow, Docker, AWS",B.Tech/B.E.,0.5,fresher
Data Engineer,MNC,EdTech,Remote,Full-Time,3.9,"ETL, AWS, Python",B.Tech/B.E.,0.5,fresher
QA Engineer,PSU/Govt,Consulting,Remote,Full-Time,5.5,"API Testing, Python, Selenium, JIRA, Manual Testing, Postman",B.Tech/B.E.,2,junior
Product Manager,PSU/Govt,HealthTech,Remote,Full-Time,27.4,"SQL, A/B Testing, Product Strategy, User Research, Agile",MCA,10,lead
Python Developer,Startup,HealthTech,Tier 1,Internship,2.3,"REST APIs, PostgreSQL, AWS, Django, FastAPI, Python",MCA,8,senior
MLOps Engineer,Startup,Information Technology,Tier 2,Full-Time,19.7,"Docker, AWS, Python, Airflow, Kubernetes, CI/CD",MBA,4.5,mid
Machine Learning Engineer,Startup,Consulting,Remote,Full-Time,24.7,"PyTorch, Docker, TensorFlow",MBA,4.5,mid
Software Engineer,Startup,Telecom,Tier 1,Part-Time,12.7,"Java, Algorithms, Git",B.Tech/B.E.,2,junior
Node.js Developer,PSU/Govt,E-Commerce,Tier 2,Full-Time,3.6,"TypeScript, REST APIs, JavaScript, Express.js, MongoDB",BCA,0.5,fresher
Data Engineer,Startup,Information Technology,Remote,Contract,11.7,"ETL, AWS, Airflow, Spark",BCA,2,junior
Node.js Developer,Startup,FinTech,Remote,Full-Time,16.1,"JavaScript, Node.js, REST APIs, MongoDB, TypeScript, Express.js",B.Tech/B.E.,4.5,mid
Data Scientist,Indian Unicorn,EdTech,Tier 1,Full-Time,61.6,"Deep Learning, NLP, SQL, TensorFlow, Scikit-learn",B.Sc (CS/IT),10,lead
iOS Developer,Startup,Information Technology,Tier 2,Contract,21,"Firebase, Xcode, REST APIs, SwiftUI, Core Data, Swift",M.Tech/M.E.,4.5,mid
UI/UX Designer,Indian Unicorn,Consulting,Remote,Full-Time,7.4,"Wireframing, Figma, Adobe XD, User Research, Prototyping",BCA,0.5,fresher
Backend Developer,Startup,Information Technology,Tier 1,Full-Time,41,"Redis, Java, MongoDB, FastAPI",MCA,8,senior
Technical Lead,MNC,HealthTech,Tier 2,Full-Time,35.7,"System Design, Team Leadership, AWS, Agile, Code Review",B.Tech/B.E.,8,senior
Python Developer,Indian Unicorn,Information Technology,Remote,Full-Time,32.6,"REST APIs, Docker, FastAPI, Python, AWS, Django",MBA,4.5,mid
Backend Developer,Startup,Manufacturing,Tier 2,Full-Time,20.8,"Java, PostgreSQL, FastAPI, Node.js, Redis",MCA,4.5,mid
Cybersecurity Analyst,MNC,HealthTech,Remote,Full-Time,4.8,"Network Security, Python, Ethical Hacking, SIEM, Penetration Testing",B.Sc (CS/IT),0.5,fresher
Software Engineer,MNC,Retail,Tier 1,Full-Time,20.4,"Algorithms, Python, Java, C++, System Design",MCA,4.5,mid
Java Developer,MNC,Information Technology,Tier 1,Full-Time,16.3,"Maven, REST APIs, Java, Hibernate",MCA,4.5,mid
Backend Developer,Indian Unicorn,Information Technology,Tier 1,Contract,23.4,"Node.js, Redis, Django, MongoDB, PostgreSQL, Docker",MCA,4.5,mid
Python Developer,MNC,Retail,Remote,Full-Time,7.4,"PostgreSQL, FastAPI, Python, REST APIs, Django",BCA,2,junior
Android Developer,MNC,Information Technology,Remote,Contract,13.3,"Firebase, REST APIs, Java",B.Tech/B.E.,4.5,mid
Product Manager,PSU/Govt,Information Technology,Remote,Full-Time,4.7,"Roadmapping, User Research, Agile, A/B Testing, Product Strategy, JIRA",B.Tech/B.E.,0.5,fresher
Computer Vision Engineer,MNC,Information Technology,Remote,Contract,24.9,"Python, Deep Learning, YOLO",BCA,4.5,mid
Cloud Engineer,Startup,FinTech,Tier 2,Full-Time,6.3,"Linux, AWS, Docker, Azure",B.Com + Certification,0.5,fresher
Software Engineer,Indian Unicorn,HealthTech,Remote,Full-Time,7,"REST APIs, Java, Git",MCA,0.5,fresher
Node.js Developer,Indian Unicorn,EdTech,Tier 2,Full-Time,20.3,"JavaScript, Node.js, Express.js, MongoDB",M.Tech/M.E.,4.5,mid
Frontend Developer,Indian Unicorn,Gaming,Tier 1,Part-Time,58.8,"HTML/CSS, Tailwind CSS, JavaScript, TypeScript",PhD,10,lead
Research Scientist,Indian Unicorn,Information Technology,Tier 1,Full-Time,7.7,"Python, PyTorch, Statistics, R, Publications, Deep Learning",BCA,0.5,fresher
Cybersecurity Analyst,Indian Unicorn,Information Technology,Tier 1,Full-Time,45.8,"Penetration Testing, Ethical Hacking, Network Security, SIEM",B.Tech/B.E.,8,senior
Software Engineer,Startup,Information Technology,Tier 1,Full-Time,23,"Java, C++, Python",B.Tech/B.E.,4.5,mid
Full Stack Developer,PSU/Govt,Information Technology,Tier 2,Full-Time,25.7,"MongoDB, PostgreSQL, REST APIs, Docker, Python, React",M.Tech/M.E.,10,lead
MLOps Engineer,PSU/Govt,Banking & Finance,Remote,Full-Time,7.4,"AWS, Airflow, Python, Docker, Kubernetes, MLflow",M.Tech/M.E.,2,junior
DevOps Engineer,MNC,Information Technology,Tier 1,Full-Time,68.9,"Ansible, AWS, Kubernetes",M.Tech/M.E.,10,lead
QA Engineer,MNC,Information Technology,Tier 1,Full-Time,10.8,"Manual Testing, Selenium, JIRA, Postman",B.Com + Certification,2,junior
Data Analyst,Indian Unicorn,EdTech,Tier 2,Full-Time,12.8,"Power BI, Excel, Python, SQL",MCA,2,junior
Engineering Manager,MNC,Information Technology,Tier 2,Full-Time,12,"Hiring, OKRs, People Management, Agile, System Design",B.Tech/B.E.,2,junior
Java Developer,PSU/Govt,Logistics,Tier 1,Full-Time,3.8,"Microservices, Java, Spring Boot, Hibernate",B.Tech/B.E.,0.5,fresher
Frontend Developer,PSU/Govt,Information Technology,Tier 1,Full-Time,6.3,"Figma, Next.js, TypeScript, HTML/CSS",B.Sc (CS/IT),2,junior
MLOps Engineer,Startup,Information Technology,Remote,Full-Time,12.3,"MLflow, CI/CD, Docker, Kubernetes, Airflow, Python",B.Tech/B.E.,2,junior
Business Analyst,MNC,EdTech,Remote,Full-Time,5.7,"Excel, JIRA, SQL, Power BI, Agile",M.Tech/M.E.,0.5,fresher
Business Analyst,MNC,Information Technology,Remote,Part-Time,23.7,"JIRA, Power BI, Requirements Gathering, Excel, SQL",B.Com + Certification,8,senior
Machine Learning Engineer,Indian Unicorn,Information Technology,Tier 1,Full-Time,7.1,"Python, MLOps, Docker, TensorFlow, Kubernetes",B.Tech/B.E.,0.5,fresher
iOS Developer,PSU/Govt,HealthTech,Tier 1,Full-Time,8.9,"Xcode, REST APIs, Core Data, Swift, SwiftUI, Firebase",B.Tech/B.E.,4.5,mid
Software Engineer,PSU/Govt,Banking & Finance,Remote,Internship,2.1,"C++, Python, REST APIs",M.Tech/M.E.,0.5,fresher
Python Developer,MNC,Banking & Finance,Tier 2,Full-Time,11.6,"AWS, REST APIs, FastAPI, Docker",B.Tech/B.E.,2,junior
Product Manager,Startup,HealthTech,Tier 1,Full-Time,6.3,"SQL, Agile, A/B Testing, Roadmapping, Product Strategy",B.Tech/B.E.,0.5,fresher
NLP Engineer,Indian Unicorn,Information Technology,Tier 2,Full-Time,28.1,"TensorFlow, Transformers, BERT",M.Tech/M.E.,4.5,mid
AI Engineer,MNC,EdTech,Tier 1,Full-Time,52.9,"LangChain, Prompt Engineering, Python, OpenAI API",MBA,10,lead
QA Engineer,MNC,Information Technology,Remote,Full-Time,5.1,"Postman, Manual Testing, JIRA, Selenium, API Testing",M.Tech/M.E.,0.5,fresher
Node.js Developer,Startup,Information Technology,Remote,Contract,10.9,"MongoDB, TypeScript, Express.js, REST APIs, JavaScript",B.Tech/B.E.,2,junior
Backend Developer,Startup,Manufacturing,Tier 2,Full-Time,5.1,"Node.js, Redis, MongoDB",MCA,0.5,fresher
Business Analyst,MNC,Banking & Finance,Remote,Full-Time,5,"Agile, Excel, JIRA, Power BI",MBA,0.5,fresher
Frontend Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,42.8,"Next.js, JavaScript, Tailwind CSS",B.Sc (CS/IT),8,senior
UI/UX Designer,PSU/Govt,Consulting,Tier 1,Full-Time,4,"Adobe XD, Prototyping, CSS, Wireframing, Figma, User Research",PhD,0.5,fresher
Full Stack Developer,MNC,Banking & Finance,Tier 1,Full-Time,18.9,"MongoDB, PostgreSQL, REST APIs, Python, Docker, React",MCA,4.5,mid
Full Stack Developer,MNC,Information Technology,Tier 1,Full-Time,7.1,"Python, React, REST APIs",B.Tech/B.E.,2,junior
Machine Learning Engineer,Startup,Consulting,Remote,Full-Time,43.2,"AWS, Docker, MLOps, Scikit-learn, Kubernetes",B.Com + Certification,8,senior
Backend Developer,Indian Unicorn,Manufacturing,Remote,Full-Time,7.6,"PostgreSQL, Java, Redis, FastAPI, Docker, Node.js",B.Com + Certification,0.5,fresher
Cybersecurity Analyst,MNC,Information Technology,Tier 1,Internship,3.1,"Network Security, Ethical Hacking, Penetration Testing, SIEM",MCA,4.5,mid
React Developer,MNC,Information Technology,Tier 1,Full-Time,6,"Redux, Next.js, JavaScript, TypeScript, React, HTML/CSS",BCA,0.5,fresher
Full Stack Developer,PSU/Govt,Banking & Finance,Tier 1,Contract,4.1,"AWS, React, MongoDB, Python, PostgreSQL",B.Tech/B.E.,0.5,fresher
Android Developer,Indian Unicorn,Information Technology,Tier 2,Full-Time,6.3,"REST APIs, Firebase, Jetpack Compose, Java, Kotlin, Android SDK",BCA,0.5,fresher
Full Stack Developer,MNC,HealthTech,Remote,Full-Time,7.3,"Docker, MongoDB, Node.js, AWS, React",B.Tech/B.E.,2,junior
Data Engineer,Startup,Information Technology,Tier 2,Full-Time,22.1,"dbt, Spark, Kafka, Python, AWS, Airflow",M.Tech/M.E.,4.5,mid
DevOps Engineer,Startup,Gaming,Tier 2,Full-Time,4.4,"Ansible, Jenkins, Linux, Terraform",M.Tech/M.E.,0.5,fresher
